4717, 40
2262, 41
368, 40
1707, 40
2174, 40
341, 40
972, 40
429, 40
536, 40
1306, 48
2075, 40
4370, 48
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 0, 32
32.0111, 35, 34
32.0111, 35, 34
32.0111, 35, 34
32.0111, 35, 34
32.0111, 35, 34
32.0111, 35, 34
32.0111, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 35, 34
32.0133, 70, 35
